name,price,url
a light in the ...,£51.77in stockadd to basket,catalogue/a-light-in-the-attic_1000/index.html
tipping the velvet,£53.74in stockadd to basket,catalogue/tipping-the-velvet_999/index.html
soumission,£50.10in stockadd to basket,catalogue/soumission_998/index.html
sharp objects,£47.82in stockadd to basket,catalogue/sharp-objects_997/index.html
sapiens: a brief history ...,£54.23in stockadd to basket,catalogue/sapiens-a-brief-history-of-humankind_996/index.html
the requiem red,£22.65in stockadd to basket,catalogue/the-requiem-red_995/index.html
the dirty little secrets ...,£33.34in stockadd to basket,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
the coming woman: a ...,£17.93in stockadd to basket,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
the boys in the ...,£22.60in stockadd to basket,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
the black maria,£52.15in stockadd to basket,catalogue/the-black-maria_991/index.html
starving hearts (triangular trade ...,£13.99in stockadd to basket,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
shakespeare's sonnets,£20.66in stockadd to basket,catalogue/shakespeares-sonnets_989/index.html
set me free,£17.46in stockadd to basket,catalogue/set-me-free_988/index.html
scott pilgrim's precious little ...,£52.29in stockadd to basket,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
rip it up and ...,£35.02in stockadd to basket,catalogue/rip-it-up-and-start-again_986/index.html
our band could be ...,£57.25in stockadd to basket,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
olio,£23.88in stockadd to basket,catalogue/olio_984/index.html
mesaerion: the best science ...,£37.59in stockadd to basket,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
libertarianism for beginners,£51.33in stockadd to basket,catalogue/libertarianism-for-beginners_982/index.html
it's only the himalayas,£45.17in stockadd to basket,catalogue/its-only-the-himalayas_981/index.html
