name,price,url
A Light in the ...,£51.77In stockAdd to basket,catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,£53.74In stockAdd to basket,catalogue/tipping-the-velvet_999/index.html
Soumission,£50.10In stockAdd to basket,catalogue/soumission_998/index.html
Sharp Objects,£47.82In stockAdd to basket,catalogue/sharp-objects_997/index.html
Sapiens: A Brief History ...,£54.23In stockAdd to basket,catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,£22.65In stockAdd to basket,catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets ...,£33.34In stockAdd to basket,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
The Coming Woman: A ...,£17.93In stockAdd to basket,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the ...,£22.60In stockAdd to basket,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,£52.15In stockAdd to basket,catalogue/the-black-maria_991/index.html
Starving Hearts (Triangular Trade ...,£13.99In stockAdd to basket,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,£20.66In stockAdd to basket,catalogue/shakespeares-sonnets_989/index.html
Set Me Free,£17.46In stockAdd to basket,catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little ...,£52.29In stockAdd to basket,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and ...,£35.02In stockAdd to basket,catalogue/rip-it-up-and-start-again_986/index.html
Our Band Could Be ...,£57.25In stockAdd to basket,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,£23.88In stockAdd to basket,catalogue/olio_984/index.html
Mesaerion: The Best Science ...,£37.59In stockAdd to basket,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,£51.33In stockAdd to basket,catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,£45.17In stockAdd to basket,catalogue/its-only-the-himalayas_981/index.html
