name,price,rating,product_url
a light in the attic,£51.77,three,catalogue/a-light-in-the-attic_1000/index.html
tipping the velvet,£53.74,one,catalogue/tipping-the-velvet_999/index.html
soumission,£50.10,one,catalogue/soumission_998/index.html
sharp objects,£47.82,four,catalogue/sharp-objects_997/index.html
sapiens: a brief history of humankind,£54.23,five,catalogue/sapiens-a-brief-history-of-humankind_996/index.html
the requiem red,£22.65,one,catalogue/the-requiem-red_995/index.html
the dirty little secrets of getting your dream job,£33.34,four,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"the coming woman: a novel based on the life of the infamous feminist, victoria woodhull",£17.93,three,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,£22.60,four,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
the black maria,£52.15,one,catalogue/the-black-maria_991/index.html
"starving hearts (triangular trade trilogy, #1)",£13.99,two,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
shakespeare's sonnets,£20.66,four,catalogue/shakespeares-sonnets_989/index.html
set me free,£17.46,five,catalogue/set-me-free_988/index.html
scott pilgrim's precious little life (scott pilgrim #1),£52.29,five,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
rip it up and start again,£35.02,five,catalogue/rip-it-up-and-start-again_986/index.html
"our band could be your life: scenes from the american indie underground, 1981-1991",£57.25,three,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
olio,£23.88,one,catalogue/olio_984/index.html
mesaerion: the best science fiction stories 1800-1849,£37.59,one,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
libertarianism for beginners,£51.33,two,catalogue/libertarianism-for-beginners_982/index.html
it's only the himalayas,£45.17,two,catalogue/its-only-the-himalayas_981/index.html
